Emotion,Clean_content
worry,honestly feel like im healing getting better good
worry,got ta lot work knocked project theres feature refuses work right cant release version
worry,tiiiired cant sleep
sadness,yesterday friend thrown horse lorry drove past ignoring signaling slow
worry,sleeping im work summer break soon tell butts bed lol
sadness,ready work bothered
sadness,hate working nights cos im able enjoy gorgeous weather asleep
enthusiasm,want candy
worry,insomniac
sadness,stop relying family going lunch
sadness,changed hairstylebut isnt good supposed n dont wealth money hate hairdresser
worry,lost mx way
worry,computers ethernet school slow
sadness,know right
worry,wish people leave jon amp kate like
sadness,yup sad eh betty man betty
worry,bad headache getting worse minute better
worry,work lunch lot work help
sadness,pol song new album missing udd
sadness,tired summer
sadness,feels sick
worry,hard time falling asleep
worry,hacked emails fuck
sadness,pfftt wish dont time
enthusiasm,dying hands diagnosis murder dvd boxset pesky kids amazon wont deliver zimbabwe
worry,noones talking anymore
happiness,ive haha
sadness,mom asking im feeling better dargah visit dad swears sees quotchangequot amused yeah depressed
sadness,songs want cry
sadness,aww dont cry ashley
worry,sigh sad lonely profession
worry,looks like eprocurement email address office mate blacklisted asking whitelist
sadness,siblings left bored
worry,wow slept dolidh wake
worry,public cant follow
happiness,biggest headache right washed hair wif mums shampoo gross like shampoo way better
sadness,bus hour late crappy alarm clock leeuwarden
worry,ok deleted messages hope dont come
worry,im hear ya dude cant
worry,boo rabbits pisses people know
sadness,wish grandmother taken
sadness,heard regina girls song les deux think u shouldhave come mc miss u
sadness,bummed didnt manchester orchestra bc sold spent night buying tv shows itunes lame
sadness,thats day watching panthers tonight beat saints fingers crossed cause qld teams playing round
worry,walmart opening store amritsar tomorrow placesthe horrorhoping limited wholesale
sadness,cant weekend sorry steph working
worry,ive sore throat monday morning im sick hurtin want freakin sleep
worry,gha work hopefully traffic cleared time
happiness,heading home yay going buy needed bottle wine drink dinner wallet mia wine tonight
sadness,got home im effin sad
sadness,cheer lizzi b foh hero concert suppose b upset xoxoxo
enthusiasm,discovered shortcoming gravity use twitpic integrated doesnt subtract pic url character limit
worry,lol thats worrying
sadness,sadly doesnt hopeful american doll posse blah vacant dynamic
worry,tried talkingvoice died end sentence annpyimg thing id feel fine day playing hits
sadness,thats miserable afterparty report
worry,going die study overload weekend homework paying work interrupt im screwed
sadness,excited blowing candle today kid
sadness,sighits sad watch series finaleno green wing left watch
worry,yepsjust today badly wanted geekshopping
worry,watching cartoons havent years eating breakfast programs changed
anger,tried dye hair got blond chunk middle hair dang
sadness,got brainbone daily question wrong
worry,sooooo tired wants crawl bed
sadness,fam big island said vog bad cant ocean sad
sadness,sunny morning big k lawns mow mile run attempt urgh
anger,quotlocked abroadquot makes bein half brown good risk mgmt travelin rd world blend feel sorry hostage magnet white pepo
worry,ie big problem
worry,sorry couldnt fit hals
worry,kills online able hello
worry,thinks annoying getting twitter error messages mobile
worry,shannie im sorry didnt mean upset thought find cute im sorry dont sad
sadness,ohh emmm geee souvlaki dimitrisi wan na homeeee lol
worry,trying sale job
worry,excited blowing candle today kid got ta grow soon later
sadness,wants milk
sadness,whys cat pain
sadness,aww poor tank friend guild fucking promising main ot barely gets
worry,morning class late bunk wakeup
worry,tweeting shes paying attention
sadness,yeah dry
worry,busy day disappointed todays repeat
sadness,god pisses enter comps amp wini sore loser
worry,jessie gone away weekend miss
sadness,cant stop loosing worst month results bubble times row
worry,hd need cleanup lot
worry,happened
worry,aww poor caity l add people n add
worry,tired want sleep stupid work getting way
sadness,time bed oh wish laying
worry,im sleepy head hurts gnite lovers ya
worry,theres spider bed calming fears listening greeeeen daylt
worry,lie fml f uuuuuuu fool
happiness,youre faking hahahai kid
worry,shit hope theyr wrong need
worry,theres spider room save
sadness,today going normal day hope group pilots large airline come night drink
sadness,omg sore shoulder
worry,hmmmm thats nice think cant help im hungry food office
sadness,result salary decrease
sadness,tonights sytycd online anywherestreamed like hulu paid like itunes missed favorite judge cant sleep
worry,aston os dream car wishful thinking
sadness,feel sicklike dont wan na bed bothered dont work turn da light pull da shades n tv type sick
worry,working lots overtime week realized booked half day tomorrow week break
worry,l atm
sadness,oist st tym di pa ko nd tym sakit na siya dont blame
worry,omg man ill pray ya
sadness,dont close library great weather ac isnt working
sadness,time house chores ugh
sadness,getting ready school reading whats going set montepulciano practically crying cause im
happiness,th grade spelling bee went trailing flames st word county spelling bee
sadness,missing taylor like crazy cant wait till hes
worry,pretamanger amp marks amp spencers stores uk donate food end day lock bins
sadness,good day till twisted ankle mile run
happiness,believe ittomorrow night jay lenos episode tonight encourage watch welcome conan
sadness,yooo rainin dumb hard
worry,cant sleep
worry,dont understand help
sadness,changed hairstylebut isnt good supposed ben dont think wealthed money hate hairdresser
sadness,yeah dnt dif apps phone sad reason lol
worry,homework ew fml pull nighter think im gon na
sadness,um k close eyes song makes cry bc mom gone lt
worry,good morning campers im happy bear morning awful dream night amp v worried
sadness,know sad
worry,im fucking nervous
worry,waaaahhh sad let know ur way
worry,holy cute dexter lost kitten face gettin chunky butt got qld haha
worry,awwww writing resumes difficult xd tell ive taken different jobs quit span months
worry,hmmm looked little methinks
happiness,bought new combo printer costco today officejet j cause cheaper ink old doesnt like fax
happiness,wake early goddam day bummer
anger,damned hordies
worry,valium makes feel goood need cant fall asleep want mommy
worry,im wake sad hells going
sadness,didnt drink hangover tired worked
worry,dont think jon kate divorce think want save marriage quit
sadness,awoke completely freaked frantic frenzy going long night
worry,work
worry,u know kids dont
worry,haha better life drinks soon jury duty boring
sadness,wheres enthusiasm meeeee
sadness,drinking nice coffee got dentist morning
worry,hoping heal makes worse owww
sadness,u watch day earth stood u bye u got dc im sad left ur gone ilylt
worry,awww dnt wanted bad
happiness,dont sad glad
worry,apparently excessive heat bad cold excessive cold body blerg sofa comfy gaming
sadness,concert week cancelled alternative date known dave gahan tumor
sadness,cant sleep thought bc im hungry whipped pbampj milk hopefully works
sadness,tweet hours likes tweetboard
sadness,im bored barely tweet talk
worry,tshwane wants double rates try phone service endless loop
sadness,head killing sneezing think boyfriend fell asleep greaaat
worry,saying goodbye familiar familiar
sadness,roughnight
sadness,tired climb bed fall asleep hope weekend fun couple weeks left
sadness,bad day got worse
sadness,recession
worry,bus goin work omg seriously im sooooo tired dont know ill survive hour shift
worry,need snuggles work dont like snuggle ironic huh
worry,got ta love im waking home midnite dangggg pray mr im jumpy
sadness,hala know shame
worry,need hot green tea cant sleep
worry,test update sorry bothering u guys
worry,mmkayy totally going bedd mean im gon na hours sleep tonight
worry,dont use msn dont think thousands miles away cant face face
worry,dude sucks tow space
happiness,goodmorning yall woke early
worry,dont undrstand malaysian busaysjust englishtagalog waray
worry,cant sleep ages
worry,run cat today know sad cried screamed lungs felt horrible poor thing
sadness,moro end stay bad shes ny ft laud weddin florida fun miss home spikecar lol
worry,ahhmy stomach hurts
worry,work work work
sadness,im work missed everythin yesterday dont know wot anybody
enthusiasm,google wave looks cool working guys came ideas years ago
sadness,fell asleep waiting ride
worry,loved hated driving pollution
sadness,today feels like friday bad
sadness,im gettin complex followers shrinking want b sunday
worry,cant sleep people textin
worry,hate fact im hours away tonight tomorrow miles apart wish
worry,phone calls like different subject result feeling beaten pulp left dead
sadness,underpaid didnt need
sadness,ohyeahhh hate heat
sadness,miss
sadness,feeling bad didnt
worry,algebra test hours
worry,morning looks like nintendo gameboy phone
sadness,disappointment sucks im getting
worry,prettymess missed free shots
worry,okay thank cant find
worry,oh trouble paradice
happiness,red font nice old entries
sadness,season lie damn comes wait
sadness,mean monday test monday
sadness,thats exactly feel hope start feeling better soon
worry,awake cant fall asleep im bit sleepy
sadness,birthday
worry,going crazy pain unbearableamp got ta wait till thursday
sadness,work tired want bed
